Torino FC	AC Milan	1:0	2:0	23.02.1986	00:00	1985	1986	22
Inter	US Lecce	0:0	3:0	23.02.1986	00:00	1985	1986	22
AS Bari	Juventus	0:1	0:3	23.02.1986	00:00	1985	1986	22
US Avellino	Pisa SC	0:1	1:1	23.02.1986	00:00	1985	1986	22
Atalanta	Sampdoria	0:1	2:1	23.02.1986	00:00	1985	1986	22
ACF Fiorentina	AS Roma	0:1	1:1	23.02.1986	00:00	1985	1986	22
Juventus	Udinese Calcio	1:0	2:1	02.03.1986	00:00	1985	1986	23
Sampdoria	Pisa SC	3:0	3:0	02.03.1986	00:00	1985	1986	23
AS Roma	Inter	2:0	3:1	02.03.1986	00:00	1985	1986	23
SSC Napoli	Torino FC	2:1	3:1	02.03.1986	00:00	1985	1986	23
Calcio Como	US Avellino	0:1	1:1	02.03.1986	00:00	1985	1986	23
US Lecce	AS Bari	0:1	1:1	02.03.1986	00:00	1985	1986	23
ACF Fiorentina	Atalanta	0:0	0:0	02.03.1986	00:00	1985	1986	23
AC Milan	Hellas Verona	0:0	1:1	02.03.1986	00:00	1985	1986	23
Juventus	SSC Napoli	0:1	1:1	09.03.1986	00:00	1985	1986	24
US Avellino	Sampdoria	1:0	2:1	09.03.1986	00:00	1985	1986	24
Hellas Verona	AS Roma	1:2	3:2	09.03.1986	00:00	1985	1986	24
Udinese Calcio	US Lecce	1:1	2:1	09.03.1986	00:00	1985	1986	24
Pisa SC	AC Milan	0:1	0:1	09.03.1986	00:00	1985	1986	24
AS Bari	Torino FC	0:0	1:0	09.03.1986	00:00	1985	1986	24
Inter	ACF Fiorentina	1:0	2:0	09.03.1986	00:00	1985	1986	24
Atalanta	Calcio Como	0:0	1:1	09.03.1986	00:00	1985	1986	24
AS Roma	Juventus	2:0	3:0	16.03.1986	00:00	1985	1986	25
Torino FC	US Avellino	0:0	1:0	16.03.1986	00:00	1985	1986	25
SSC Napoli	Inter	0:0	1:0	16.03.1986	00:00	1985	1986	25
AC Milan	Udinese Calcio	1:0	2:0	16.03.1986	00:00	1985	1986	25
ACF Fiorentina	Hellas Verona	0:0	0:0	16.03.1986	00:00	1985	1986	25
Calcio Como	Pisa SC	1:0	1:1	16.03.1986	00:00	1985	1986	25
Atalanta	AS Bari	0:0	0:0	16.03.1986	00:00	1985	1986	25
US Lecce	Sampdoria	0:1	0:1	16.03.1986	00:00	1985	1986	25
Juventus	Inter	1:0	2:0	23.03.1986	00:00	1985	1986	26
Hellas Verona	Atalanta	0:1	0:3	23.03.1986	00:00	1985	1986	26
Udinese Calcio	SSC Napoli	1:0	2:0	23.03.1986	00:00	1985	1986	26
Sampdoria	Calcio Como	0:0	0:0	23.03.1986	00:00	1985	1986	26
US Avellino	US Lecce	1:0	2:0	23.03.1986	00:00	1985	1986	26
